subset	context	horizon_weeks	pathogen	ed_source_id	n_series	mean_delta_rmse	ci_lo_mean_delta_rmse	ci_hi_mean_delta_rmse	fusion_win_rate_rmse	ci_lo_fusion_win_rate_rmse	ci_hi_fusion_win_rate_rmse	mean_delta_mae	ci_lo_mean_delta_mae	ci_hi_mean_delta_mae	fusion_win_rate_mae	ci_lo_fusion_win_rate_mae	ci_hi_fusion_win_rate_mae	mean_delta_mape	ci_lo_mean_delta_mape	ci_hi_mean_delta_mape	fusion_win_rate_mape	ci_lo_fusion_win_rate_mape	ci_hi_fusion_win_rate_mape	frac_mape_unstable	bootstrap_n	bootstrap_seed	ci_alpha
high_fidelity	with_current_ed	2	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0001839609875867996	9.301709724019933e-05	0.0002749048779333999	0.0	0.0	0.0	5.108929915644987e-05	-0.00012733020046979977	0.0002295087987826995	0.5	0.0	1.0	-0.44919881722583566	-1.3957105368550664	0.4973129024033951	0.5	0.0	1.0	0.5	5000	7	0.05
high_fidelity	with_current_ed	2	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.00035514062393470007	-5.8949582713099975e-05	0.0005791408109646	0.3333333333333333	0.0	1.0	0.0002521067558844	-3.6080730670300055e-05	0.0004518259474727	0.3333333333333333	0.0	1.0	0.10988070238289727	-0.005783528775415547	0.2672742948937221	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	3	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-0.00015442680915666663	-0.00042622479642709984	1.633973694950032e-05	0.6666666666666666	0.0	1.0	-0.00044459563590439993	-0.0006553919502994996	-0.00017777719327989995	1.0	1.0	1.0	-0.1808436022569413	-0.46533942802397443	0.2124929073092079	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	3	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.00013755086952560013	-0.0002497692392340002	-2.5332499817200087e-05	1.0	1.0	1.0	-0.00011521282012909979	-0.00023034244453389984	-8.319572429972902e-08	1.0	1.0	1.0	-0.03177163787877363	-0.07477247540861331	0.011229199651066057	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	3	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0122505091060308	-0.0007725354930937008	0.0378154575884383	0.6666666666666666	0.0	1.0	0.007372993661321732	-0.0008210692779848008	0.022415898261684702	0.3333333333333333	0.0	1.0	0.8359967059668089	-0.07812007796274778	2.474141845163295	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	3	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0005056779961110998	0.00036280111776030004	0.0006485548744618996	0.0	0.0	0.0	0.00021067781433589975	0.00015816736015030006	0.00026318826852149944	0.0	0.0	0.0	-1.3132820925817477	-2.914071002535586	0.2875068173720905	0.5	0.0	1.0	1.0	5000	7	0.05
high_fidelity	with_current_ed	3	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0003047552275383333	-6.645560513489986e-05	0.0005375483330157999	0.3333333333333333	0.0	1.0	0.0002719028187417333	-2.3467888731699992e-05	0.0005131540629198998	0.3333333333333333	0.0	1.0	0.16560774255515898	0.03626331365937352	0.402529436277117	0.0	0.0	0.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	4	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-0.0003489952468693335	-0.0006080568551768001	-0.00015889829145469998	1.0	1.0	1.0	-0.0007337036468820667	-0.0009066953198353001	-0.0005752020766242	1.0	1.0	1.0	-0.40693463330490837	-0.6191870865008477	-0.1464554191248406	1.0	1.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	4	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.00013258039318314986	-0.0002310692556612001	-3.409153070509964e-05	1.0	1.0	1.0	-9.521191392380035e-05	-0.0001560039340419003	-3.44198938057004e-05	1.0	1.0	1.0	-0.04318424542051391	-0.057306881073162064	-0.02906160976786576	1.0	1.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	4	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.013495398755456333	-0.00018290840398130052	0.0407079175798827	0.6666666666666666	0.0	1.0	0.008000030079435066	-0.0006831005994899012	0.024465985419443097	0.3333333333333333	0.0	1.0	0.9986529126587911	-0.09210939533977891	2.9803036537073155	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
