context	svi_tertile	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
with_current_y	high	2	0.0	0.0	12	204	0.0925300355740159	0.09253003557401589	0.14705882352941177	0.14705882352941177
with_current_y	high	2	0.0	0.3	12	204	0.08337890906134116	0.08337890906134116	0.17156862745098037	0.1715686274509804
with_current_y	high	2	0.1	0.0	12	168	0.09236505703686838	0.0904569861351963	0.1943815987933635	0.17857142857142858
with_current_y	high	2	0.1	0.3	12	182	0.06794077096325869	0.06703937030455466	0.23263888888888892	0.23626373626373626
with_current_y	high	3	0.0	0.0	12	204	0.10054909104953187	0.10054909104953187	0.16666666666666666	0.16666666666666666
with_current_y	high	3	0.0	0.3	12	204	0.09159898821743735	0.09159898821743735	0.17647058823529407	0.17647058823529413
with_current_y	high	3	0.1	0.0	12	193	0.08527233861934812	0.0855291335767734	0.24276960784313725	0.23834196891191708
with_current_y	high	3	0.1	0.3	12	184	0.08318618221839721	0.0805419541531637	0.22321428571428573	0.22826086956521738
with_current_y	high	4	0.0	0.0	12	204	0.10320014037364002	0.10320014037364002	0.18137254901960784	0.18137254901960784
with_current_y	high	4	0.0	0.3	12	204	0.09472060045486191	0.09472060045486191	0.18137254901960784	0.18137254901960784
with_current_y	high	4	0.1	0.0	12	200	0.08911799202463348	0.09046120042949475	0.24417892156862744	0.24
with_current_y	high	4	0.1	0.3	12	196	0.09442139966544096	0.09424552582368582	0.20496323529411767	0.20408163265306123
with_current_y	high	4	0.2	0.0	12	126	0.14197907657734313	0.13699974524572073	0.1373677248677249	0.15079365079365079
