context	geo_id	pathogen	horizon_weeks	test_weeks	rmse_ar	rmse_fusion	delta_rmse_fusion_minus_ar	fusion_better_than_ar	n_weeks	median_samples_per_week	mean_samples_per_week	p10_samples	p90_samples	median_population_coverage	mean_population_coverage	coverage_tertile_median_population_coverage	coverage_tertile_median_samples
with_current_y	NM	Influenza	3	52	0.9787941281301956	1.0593259398692985	0.08053181173910284	0	123	3.0	3.1463414634146343	2.0	4.0	0.3065682001050821	0.2753630467285323	mid	low
with_current_y	NM	RSV	3	52	0.2365925062486814	0.3099397096430283	0.07334720339434692	0	123	3.0	3.1463414634146343	2.0	4.0	0.3065682001050821	0.2753630467285323	mid	low
with_current_y	NV	COVID-19	3	52	0.1247872240327696	0.2191988859805868	0.0944116619478172	0	170	9.5	9.935294117647059	5.0	17.0	0.7850249889154471	0.787341586575031	high	low
with_current_y	NV	Influenza	3	52	0.1574159892877153	0.2492859033642986	0.09186991407658329	0	158	5.0	8.360759493670885	3.0	17.0	0.7850249889154471	0.7376709162368081	high	low
with_current_y	NV	RSV	3	52	0.0761628797815313	0.3965209436963585	0.3203580639148272	0	158	5.0	8.487341772151899	3.0	17.0	0.7850249889154471	0.7426394288248807	high	low
with_current_y	NY	COVID-19	3	52	0.0598122142299304	0.063970688838979	0.0041584746090485986	0	170	201.0	193.4294117647059	153.0	224.2	0.15824514317336275	0.24442124281751781	mid	high
with_current_y	NY	Influenza	3	52	0.188325136971647	0.1808921327867079	-0.007433004184939085	1	139	5.0	5.60431654676259	3.0	13.0	0.006044619568267	0.0430703116156561	low	low
with_current_y	NY	RSV	3	52	0.0579808915899466	0.1187335406137879	0.060752649023841296	0	140	5.0	5.871428571428571	3.0	13.0	0.006044619568267	0.0429461639124381	low	low
with_current_y	OH	COVID-19	3	52	0.1120101154937928	0.1216568453773501	0.00964672988355729	0	170	141.0	122.83529411764705	75.0	146.0	0.44658468676433344	0.4364912279583281	high	high
with_current_y	OH	Influenza	3	52	0.1126042076708041	0.2847509295029163	0.17214672183211222	0	170	116.5	94.52352941176471	6.0	146.0	0.43906607566806344	0.3493128215014001	high	high
with_current_y	OH	RSV	3	52	0.0711819933230476	0.1408641148829554	0.06968212155990779	0	170	6.5	58.73529411764706	5.0	144.1	0.0456381564792677	0.24223653294729983	low	low
with_current_y	OK	COVID-19	3	52	0.2433771157155014	0.2335942183739714	-0.009782897341530011	1	169	19.0	18.2603550295858	2.0	25.200000000000017	0.1788573993070604	0.1642665123723658	mid	mid
with_current_y	OK	Influenza	3	52	0.2477559890433762	0.2348263628669597	-0.012929626176416492	1	168	18.0	16.589285714285715	2.0	22.0	0.15150358657549923	0.15654382743984327	mid	mid
with_current_y	OK	RSV	3	52	0.372979747983289	0.3053999162626202	-0.06757983172066878	1	167	18.0	16.389221556886227	2.0	21.0	0.1511350993910094	0.15193944180523838	mid	mid
with_current_y	OR	COVID-19	3	52	0.1099550409066093	0.1354129913761295	0.025457950469520194	0	170	32.0	35.7	27.0	55.099999999999994	0.2059467930394075	0.22571023586541597	mid	mid
with_current_y	OR	Influenza	3	52	0.2025520309897612	0.1845536788083331	-0.017998352181428118	1	152	31.5	31.67105263157895	25.1	41.0	0.20156051781106749	0.20092113115906807	mid	mid
with_current_y	OR	RSV	3	52	0.1070228850695406	0.1252334376162228	0.018210552546682204	0	150	31.0	28.553333333333335	5.0	41.0	0.1781994093965789	0.18353710162103704	mid	mid
with_current_y	PA	COVID-19	3	52	0.0875620131237914	0.1318595406580281	0.0442975275342367	0	170	82.0	88.02941176470588	65.9	125.0	0.2679458275169931	0.25046226956506246	mid	high
with_current_y	PA	Influenza	3	52	0.0883087744081423	0.09665609142373	0.00834731701558769	0	170	18.0	37.23529411764706	10.900000000000002	68.1	0.0353339546476402	0.07057498641664729	low	mid
with_current_y	PA	RSV	3	52	0.177160714945716	0.1352980001894877	-0.0418627147562283	1	170	13.5	30.923529411764704	6.0	60.0	0.0319541850726485	0.057062467038492166	low	low
with_current_y	RI	COVID-19	3	52	0.0776799958003207	0.0979267029181918	0.020246707117871104	0	170	17.0	17.41764705882353	14.0	22.0	0.3913810207106365	0.36218456658421877	high	mid
with_current_y	RI	Influenza	3	52	0.4260157231580898	0.3985376970981559	-0.02747802605993388	1	95	20.0	17.54736842105263	6.4	22.0	0.3553273231736039	0.3209786617785932	high	mid
with_current_y	RI	RSV	3	52	0.6678556193578793	0.4281194136432783	-0.23973620571460097	1	95	20.0	17.49473684210526	6.0	22.0	0.3553273231736039	0.3209786617785932	high	mid
with_current_y	SC	COVID-19	3	52	0.0944484474697555	0.1350743381898919	0.04062589072013639	0	170	26.0	26.44705882352941	11.900000000000002	41.0	0.0849475805880603	0.09088381652525532	low	mid
with_current_y	SC	Influenza	3	52	0.9038762481222664	0.9205109129206284	0.016634664798361953	0	118	33.0	26.06779661016949	5.0	43.0	0.07466676736732289	0.0635361387480097	low	high
with_current_y	SC	RSV	3	52	0.2207875962902105	0.2539058225054158	0.033118226215205326	0	118	33.0	26.06779661016949	5.0	43.0	0.07466676736732289	0.0635361387480097	low	high
with_current_y	SD	COVID-19	3	52	0.4559558129693846	0.711111606889473	0.25515579392008836	0	170	5.0	5.758823529411765	4.0	8.0	0.0374685374487011	0.1543399910645965	low	low
with_current_y	SD	Influenza	3	52	0.679208677969806	0.6483241302090484	-0.030884547760757552	1	152	5.0	4.8618421052631575	3.0	7.0	0.0220403161462948	0.098391161322818	low	low
with_current_y	SD	RSV	3	52	0.3510385140740759	0.7339438383341363	0.38290532426006046	0	154	5.0	4.954545454545454	3.0	7.0	0.0220403161462948	0.09739959190494106	low	low
with_current_y	TN	COVID-19	3	52	0.1042027452102804	0.1780559855443863	0.07385324033410591	0	170	7.5	11.74705882352941	6.0	27.0	0.09154258975206975	0.1570454494353967	low	low
with_current_y	TN	Influenza	3	52	0.2332256472845231	0.228335826122157	-0.004889821162366109	1	147	6.0	6.26530612244898	4.0	10.0	0.0566060458370286	0.06811354473113372	low	low
with_current_y	TN	RSV	3	52	0.0810317271726866	0.497619342599394	0.4165876154267074	0	147	6.0	6.469387755102041	5.0	10.0	0.0566060458370286	0.06888369501463071	low	low
with_current_y	TX	COVID-19	3	52	0.1186813451914172	0.1599212948251151	0.04123994963369791	0	170	106.5	113.44117647058823	79.0	155.0	0.17994950647307723	0.2141235826023909	mid	high
with_current_y	TX	Influenza	3	52	0.1188441396022992	0.181726741383868	0.06288260178156879	0	170	72.0	73.12941176470588	36.900000000000006	109.0	0.1600175285732041	0.18866216245475997	mid	high
with_current_y	TX	RSV	3	52	0.0684820173583842	0.3466674147175312	0.278185397359147	0	170	72.0	74.68823529411765	41.0	109.0	0.1600175285732041	0.1913681665840249	mid	high
with_current_y	UT	COVID-19	3	52	0.093609438936414	0.1288513114188158	0.035241872482401806	0	170	67.0	61.38823529411765	36.900000000000006	70.0	0.8450292733816364	0.8416902193593171	high	high
with_current_y	UT	Influenza	3	52	0.0942007596563438	0.2029941726478994	0.10879341299155561	0	170	5.0	28.94705882352941	4.0	70.0	0.2107695269123207	0.4882505655880174	mid	low
with_current_y	UT	RSV	3	52	0.0756079034264773	0.150893676831327	0.07528577340484971	0	170	5.0	29.123529411764707	5.0	70.0	0.2107695269123207	0.4900452711442021	mid	low
with_current_y	VA	COVID-19	3	52	0.0725816808920831	0.0842887195814765	0.011707038689393406	0	170	56.0	55.8235294117647	50.0	66.0	0.42176901772165276	0.38854147254886867	high	high
with_current_y	VA	Influenza	3	52	0.0731427332813754	0.0817667899072584	0.008624056625883003	0	170	43.0	41.917647058823526	33.0	55.0	0.4121253232274613	0.35391551970907886	high	high
